"Name","Country","Category","Website","CEO","LinkedIn","Twitter","description"
"Shida"," Congo, The Democratic Republic Of The"," Payments & Transfers"," shidapourvous.net"," Jonathan Kongolo Ngoyi","https://www.linkedin.com/in/jonathan-kongolo-ngoyi-30524857","","Shida \n \n        SHIDA is a mobile app for Android Smartphone developed by the DJENDA Lab in order to put the seller in contact with the buyer wherever it is and promote local businesses to the local population. The application is compatible on android phones in all versions and can be found on Google Play on this day.\n        "
"Sureswipe"," South Africa"," Payments & Transfers"," http://sureswipe.co.za/"," Paul Kent","https://www.linkedin.com/in/paul-kent-6a1bbb10"," @PaulKentSA","Sureswipe \n \n        Sureswipe is more than a card payment acceptance organisation, we are a team that focuses on disrupting the payment industry in order to deliver real value to independent retailers and service providers. At Sureswipe we believe that offering independent retailers and service providers an easy and accessible way to accept card payments will aid in driving and sustaining their growth. With a recent surge of multiple payment methods and the disruption within the payments sector, we are strategically moving to consolidate payment channels in order to offer one point of contract and contact. Sureswipe is well positioned to simplify the administrative burden to independent retailers, while bringing efficiency and savings to the market. Our rapidly expanding distribution network of independent sales agents/ organisations is also providing opportunities for entrepreneurs across South Africa.\n        "
"Treasury Technologies"," South Africa"," Innovative Banking"," www.trtech.co.za"," Rudolph Janse Van Rensburg","","","Treasury Technologies \n \n        With more than 45 treasury management system implementations, our team of Treasury Consultants are experienced in all aspects of Treasury System Processes – from a big blue chip company to smaller enterprises we have the experience and knowledge to implement world class TMS systems. We understand the need of clients to access up to date information from any device, at any time, at any place with seamless integration with 3rd party systems including ERP systems and Market Data providers.\n\n\n      \n        "
"BitX"," South Africa"," Blockchain & Bitcoin"," www.bitx.co"," Marcus Swanepoel","https://www.linkedin.com/in/marcusswanepoel?trk=extra_biz_connect_hb_upphoto"," @BitX","BitX \n \n        Our vision is to make money frictionless and universally accessible. We are doing this by building an open, intelligent and global financial platform, using Bitcoin as our core infrastructure. We own and operate a core infrastructure that allows consumers or businesses to safely store Bitcoin or seamlessly convert between local currencies and Bitcoin, as well as all the necessary KYC/AML processes around that. The following products operate on top of this platform: BitX Smart Wallet: Our flagship wallet that makes it safe and easy for consumers to buy, sell, send and spend Bitcoin directly, or move other currencies using Bitcoin as rails. Includes the ability to buy prepaid airtime or generate virtual credit card numbers to help drive broader adoption. The wallet’s intelligent design sets a foundation for creating personalised, contextual and predictive financial experiences. The BitX Smart Wallet is the bank of the future. BitX Exchange: Low latency Bitcoin trading platform with multiple currency and country support. BitX for Business: APIs that allow businesses and developers to access our core infrastructure. These include merchants and PSPs, remittance companies and many others.\n        "
"Capitec Bank"," South Africa"," Incumbent Banks"," https://www.capitecbank.co.za/"," Gerrie Fourie",""," @CapitecBankSA","Capitec Bank \n \n        From one banking solution and innovative tech to Sunday and paperless banking, everything we do is to make your life easier and empower you to take control of your money. Simplicity - To simplify banking, we’ve developed an all-inclusive banking solution. Global One is the one solution that enables you to transact, save and access credit in realtime. We also believe in harnessing the power of technology to make each interaction easier and simpler.\n\nAffordability - We do everything we can to ensure that our clients have access to transparent and affordable banking services. When you bank with us, there are no hidden costs. We’re committed to making sure that you have a clear understanding of exactly what you're paying for.\n\nAccessibility - Why shouldn’t you have access to your cash when and where you want it?! Whether you prefer Remote Banking, ATM transacting, drawing cash from tills at your local supermarket or coming into one of our branches, the way you access you cash is entirely up to you.\n\nPersonal service - An affordable, simplified banking solution would mean very little without excellent service. Our immediate focus is to build a relationship with you to better understand your needs and goals and to empower you to take control of your cash.\n        "
"ECLECTICS INTERNATIONAL ..."," Kenya"," Innovative Banking"," www.ekenya.co.ke"," Mr. Paul Ruru Mbugua",""," N/A","ECLECTICS INTERNATIONAL LIMITED \n \n        Eclectics International Limited a Kenyan based and owned organization operating in 23 African countries providing financial solutions to support banks, micro finance institutions, saccos/cooperatives and other bespoke clients. The company has been operational for 7years+ and enables financial institutions increase their efficiency and effectiveness by developing, deploying and supporting their proprietary custom made solutions. The company has undergone various certifications and so have the solutions developed and are able to implement global standard projects. A key focus is the area of financial inclusion where we have partnered with a number of institutions to assist them reach the population at the bottom of the pyramid with financial products that suit them without asking them to conform to conventional banking modalities which is foreign to them. Through this, the number of lives that have been reached and changed are in the millions across the continent and the impact created invaluable as it is immeasurable. We not only want to provide an ICT solution but we want to be a part of a value proposition that moves Africa to the next level by ensuring that financial services are accessible to everyone and in that stride ensure that enterprise flourishes creating a win-win scenario across the board. Internally, our operations has created employment for over 120 software developers of an average age of 27 hence our expansion in business directly correlates with opportunities created for support of livelihoods. This award will complement our efforts extensively and ensure we continue to provide support to enterprise that exist to provide life changing services to Africa's population. The award will also be a pat on the back for the sleepless nights and intensive efforts put in to get the organization to this level thereby giving us the motivation to continue committing ourselves wholly to this cause of changing enterprise and our continent for good.\n        "
"Ground Flr"," South Africa"," Lending & Financing"," www.groundflr.net"," Abu Cassim",""," @groundflr","Ground Flr \n \n        Ground Flr is changing the way emerging markets startups look for funding and in so doing improve their chance of success. Opportunity is the only difference between those in developed markets and those in emerging markets. We are leveling the playing field, Ground Flr is an online platform connecting emerging market entrepreneurs & global investors. We already have a presence in Africa and Latin America\n        "
"Jumpstart"," South Africa"," InvestTech"," Jumpstart.co.za"," Bryan Smith",""," @jumpstartsa","Jumpstart \n \n        Jumpstart is a preeminent South African equity investment platform, combining the best of venture capital with equity crowdfunding. We provide investors the opportunity to invest in startups alongside Venture Capital firms and angel investors (both primary and secondary investment opportunities). Jumpstart does not require the typical large investments that have traditionally closed off the world of early stage startup investing, instead, investors can invest with as little as R10 000. For investors looking for high-growth investments, this type of access to startup investing in private companies is virtually unheard in traditional Venture Capital investing.\n        "
"Livestock Wealth"," South Africa"," InvestTech"," www.livestockwealth.com"," Ntuthuko Shezi","https://www.linkedin.com/in/ntuthuko-shezi-a8517b2a"," @livestockwealth","Livestock Wealth \n \n        Livestock Wealth was founded by Ntuthuko Shezi, a former Accenture strategy consultant, serial entrepreneur and Electro-Mechanical Engineering graduate from the University of Cape Town. Shezi has started a number of successful businesses such as Scratch Mobile, the award winning auto body repair shop at Johannesburg's O.R. Tambo Airport prior to venturing into the intersection of Agriculture and Financial Services.The crowd-farming idea came out of a personal frustration with the complexity and volatility of the Johannesburg Stock Exchange. He then went to think of ways to grow his own wealth in a method that is simple and easy to understand. He credits the advice of Warren Buffett, the world's most successful equity investor, who said: ""Never invest in anything you do not understand."" This led him to the centuries' old and easy to understand method of creating and storing wealth - Cows.Livestock Wealth expertly manages and operates two farms: Fairplay in Zululand, Vryheid and Rietfontein in Kokstad, KwaZulu Natal, South Africa. The current farms have carrying capacity of a 1000 head of cattle. We aim to grow the cows under our management to 1 million by 2020 in different farms in South Africa and beyond.We pride ourselves with our skill in selecting the best breeding cows and bulls to ensure the best returns for our investors through consistent calving ratios, high weaning weights and excellent weaning ratios.\n        "
"Paylater"," Nigeria"," Lending & Financing"," www.paylater.ng"," Chijioke Dozie",""," @paylaterng","Paylater \n \n        Paylater is a mission driven consumer lender with a goal of serving both the unbanked and underbanked through customer-centric products. We leverage technology to allow customers access our products irrespective of distance and time of day. Credit through innovation, it really is that simple.\n        "
"Paystack"," Nigeria"," Payments & Transfers"," www.paystack.com"," Shola Akinlade",""," @paystack","Paystack \n \n        Accept Payments Online. We help Nigerian businesses accept Mastercard, Visa and Verve cards from anyone, anywhere in the world. If your business needs to accept payments online, we've figured it all out for you. It's simple, secure and affordable. FAST AND EASY INTEGRATION We've done all the hard work so that you can start accepting live payments in less than 30 mins. RECURRING BILLING Increase your revenue and retention with our PCI-Compliant one-click and subscription payments Infrastructure. EASY FOR YOUR CUSTOMERS The payment experience is simple and frictionless. You can imagine the magic this does to your conversion. ADVANCED FRAUD PROTECTION We use machine learning to minimize risks, reduce chargebacks and it's associated costs.\n        "
"Skylabase"," Cameroon"," Innovative Banking"," www.skylabase.com"," Ayuk Etta Akum",""," @ayprograms","Skylabase \n \n        We want every single person in Africa to have a bank account. A seamless, mobile, accessible bank account. What better way to do that than to power the retail banking sector in Africa that reaches the highest number of poor people with technologies for financial inclusion. Due to this, We came out with Smartfinance platform, introducing digital smartness to finance management to financially include all Africans. Poverty is a puzzle. What we make of that puzzle is that, the inability to control capital especially by the poor, is the predator of the poor thus giving a platform of an impoverished society. We are out to reach the poor and society at large by incorporating technology and finance to provide user friendly mobile banking and adaptable solutions in one pack, which is, Cameroons most innovative retail banking software known as smartfinance. Its mission is to reach through micro-finance institutions to the poor, enabling them control their capital via a daily collection tool designed for field practitioners to sensitize and ""save a better tomorrow for the poor"" in these institutions.To allow their clients save money from their homes, request for loans, receive disbursed loans, repay loans, request withdrawal through mobile money. The system is flexible and adapted to the nature of true African needs in a growth era as such. Smartfinance! the one true platform of Financial Inclusion in Africa to take Retail Banking to the next level powered by Skylabase and the Mifos Initiative\n        "
"Snapscan"," South Africa"," Payments & Transfers"," www.snapscan.co.za"," Kobus Ehlers","https://www.linkedin.com/in/kobuse"," @SnapScanApp","Snapscan \n \n        We combine the agility and speed of a small local startup with the industry knowledge and experience of Standard Bank, Africa's biggest bank. As a team, we love solving difficult problems, especially when it comes to making fast, easy mobile payments possible!SnapScan is an easy, affordable and convenient way for merchants to accept card payments, and a safe, secure and convenient payment method for users, who no longer have to carry cash around with them or worry about their cards being skimmed.We have over 28 000 merchants and a vast user network across South Africa. The app supports credit cards and most debit cards from any local bank, as well as 3D Secure-enabled international bank cards.\n        "
"VTNetwork LTD"," Nigeria"," Payments & Transfers"," https://www.virtualterminalnetwork.com"," Peter Ojo","https://www.linkedin.com/in/peterojo"," @VCASHVTN","VTNetwork LTD \n \n        VTNetwork has developed a variety of cutting-edge services that solve pain points for consumers and businesses across Nigeria. These include unique solutions to facilitate insurance premium payments from the field, to automate airtime purchasing, and to wring efficiencies that smooth last mile connectivity for international remittances flowing into the federation. It builds these services on top of a platform (branded VCASH) that is most akin to a cash-based version of PayPal, designed for emerging and frontier economies. On top of its technology, the company has a reputation for trustworthiness, built over more than a decade of offering high-touch customer support and reliable ""always up"" financial services.\n        "
"Abacus"," Kenya"," InvestTech"," www.abacus.co.ke"," Joel Macharia","https://www.linkedin.com/in/joelmacharia"," @abacuske","Abacus \n \n        Abacus builds web and mobile software to help investors across the globe access African financial markets. We make it possible for both local and international investors to research and invest, any time, any where. Our founders, advisors and board of directors have extensive experience in global financial markets.We love what we do, and are infinitely curious.\n\nThe ""Ideas and Discussions"" section of Abacus is open network of investors which anyone can join and where they can share, learn, interact and compete with one another. Investors are better together than apart. See, Follow and Copy the best traders in our investment network by reviewing the trading history and risk profile of a trader and subscribing for their trades on email. Now, you can trade like an expert simply by copying an expert.\n\nHow does it work?\n        "
"Absa ChatBanking"," South Africa"," Innovative Banking"," http://absa.co.za/Absacoza"," Maria Ramos",""," @AbsaChatBanking","Absa ChatBanking \n \n        Absa Bank Limited (Absa) is a wholly owned subsidiary of Barclays Africa Group Limited. Absa offers personal and business banking, credit cards, corporate and investment banking, wealth and investment management as well as bancassurance.\n\nIf you love Twitter or Facebook, you'll love Absa ChatBanking\nWe are leading the way in digital banking innovation and are proud to bring you a world first in branking - ChatBanking for Facebook Messenger and a South African first -  ChatBanking for Twitter.  Giving you the ability to stay up to speed with the latest social media news and do your banking at the same time.What is it?\nChatBanking for Twitter & Facebook Messenger allows you to make payments, buy airtime,data and electricity, check your balance or get a mini statement straight from Messenger or Twitter. This means that on those days when you need to get to the bank but the trending hashtags are keeping you glued to your social media feed, you won't have to miss a tweet.How do I get started?\nStep 1: Logon to online banking, click on Settings from the Express tab and add your profile\nStep 2: Logon to Twitter and follow @AbsaChatBanking or Logon to Facebook and look for Absa ChatBanking \nStep 3: Send a private message  to @AbsaChatBanking and simply say ""hi""\nBarclays Africa Group Limited is 62.3% owned by Barclays Bank PLC and is listed on the JSE Limited. The Group is one of Africa’s major financial services providers offering personal and business banking, credit cards, corporate and investment banking, wealth and investment management as well as bancassurance.\n\nThe Group was formed through combining Absa Group Limited and Barclays’ African operations on 31 July 2013. Reflecting the enlarged group’s pan-African focus, the Group's name changed from Absa Group Limited, to Barclays Africa Group Limited on 2 August 2013. Registered head offices are in South Africa and the Group has majority stakes in banks in Botswana, Ghana,Kenya, Mauritius, Mozambique, Seychelles, South Africa, Tanzania (Barclays Bank Tanzania and National Bank of Commerce), Uganda and Zambia. The Group has representative offices in Namibia and Nigeria, as well as bancassurance operations in Botswana, Mozambique, South Africa and Zambia. Barclays Bank Kenya and Barclays Bank Botswana continue to be listed on their respective stock exchanges.Barclays Bank PLC has operations in Egypt and Zimbabwe, which are part of the African business and continue to be run by Barclays Africa Group’s management\n        "
"Baobab by Microcred"," France"," Innovative Banking"," www.microcredgroup.com"," Arnaud Ventura","https://www.linkedin.com/in/aventura?authType=NAME_SEARCH&authToken=ink2&locale=en_US&trk=tyah&trkInfo=clickedVertical%3Amynetwork%2CclickedEntityId%3A312821%2CauthType%3ANAME_SEARCH%2Cidx%3A1-1-1%2CtarId%3A1464698579356%2Ctas%3AArnaud%20Ventura"," @MicrocredGroup","Baobab by Microcred \n \n        Serving more than half a million clients in 10 countries with more than 130 branches and 3000 staff, Microcred has a strong focus on Micro & SME finance. In addition to its core Micro & SME business, Baobab is Microcred's digital finance solution for financial inclusion. With Baobab, Microcred offers financial services to emerging client segments, particularly the unbanked, with a focus on Micro & SMEs. Baobab / Microcred was created in 2005 by Arnaud Ventura, its current President & CEO.​ The Group is one of the few global financial institutions that has been able to deploy a cost-effective model to address the issue of Micro & SME financing globally. Main partners include PE Funds such as APIS and global financial institutions such as AXA.\n        "
"Branch"," Kenya"," Lending & Financing"," https://www.branch.co"," Matthew Flannery","https://www.linkedin.com/in/matthew-flannery-4b6895111?authType=OPENLINK&authToken=HrxU&locale=en_US&srchid=4553804831464695669201&srchindex=1&srchtotal=2&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A4553804831464695669201%2CVSRPtargetId%3A470986122%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Atrue%2CauthType%3AOPENLINK"," @branch_co","Branch \n \n        Branch.co delivers world-class financial services anytime, anywhere. The spread of smartphones presents an incredible opportunity for the world’s emerging middle class to access banking options and achieve financial flexibility. Branch.co is revolutionizing banking in Kenya, and will soon expand throughout the developing world.Commitment to Privacy and Security\nBranch eliminates the challenges of getting a loan by using the data on your phone to create a credit score. We encrypt the data you choose to share with us to protect your privacy. We do not share your information with third parties.\n\nFair and Transparent Services\nOur fees are clear and easy to understand. Our terms allow for easy repayment. We do not charge late fees or rollover fees. The more you use Branch, the better it gets. As you pay back on time, our fees decrease, and you unlock larger loans with more flexible terms.\n\nInnovative Product, Compassionate People\nComplete our application in minutes. Receive your loan instantly. We provide world-class support, 24 hours a day. Ask a question in the app and receive a response in minutes. We are motivated by seeing you succeed, and we will never stop improving to better serve you.\n        "
"CA Payments"," Kenya"," Payments & Transfers"," http://www.ca-payment.com/"," Caroline Cherotich","https://www.linkedin.com/in/caroline-cherotich-70b64132"," @ca_payment","CA Payments \n \n        ConnectAfrica is a B2B technology solution connecting various payment networks together. Members of the hub are able to facilitate cross-network transfers. Targeted members are, e-wallet providers, Banks, Payments Service Providers and many more. The Hub is initially focused in growing payment networks in East Africa although with partners in West Africa too.\n\nThe networks that are brought together at the switch are invaluable to all members since they benefit from a combined pool of products in different countries. That is the essence of the concept: to cheaply avail a unique mix of products and corridors created from the collected pool without incurring additional CAPEX or integration costs, not to mention travel and time costs to its members.\n\nThe Hub bridges the service gaps between the various members giving seamless connectivity for the end consumer(who is a direct customer of the member). Members connect to the switch through API only for security reasons. Two strong African banks supports the end to end settlements between the members. ConnectAfrica fills the gap that offers last mile multichannel transactions to Africa. These transactions are a variety:\n\nMobile wallets\nCash Bank\nDeposits\nPrepaid cards\nBill Payments\nAirtime top-up\n\nConnect Africa has a platform that links multiple financial institutions, Money Transfer Operators and Mobile Network Operators across the world to allow them process their own real time international and domestic money transfers and payments. We offer turn key services and draw revenues by switching payments between members. We have a strong partnership approach and we increase the attractiveness by offering AML screening and settlements between our members.\n        "
"Creditable"," South Africa"," Lending & Financing"," creditable.co"," Sechaba Ngwenya","https://www.linkedin.com/in/sechaba-ngwenya-6400432?authType=NAME_SEARCH&authToken=8cOA&locale=en_US&trk=tyah&trkInfo=clickedVertical%3Amynetwork%2CclickedEntityId%3A6061008%2CauthType%3ANAME_SEARCH%2Cidx%3A1-1-1%2CtarId%3A1468508383965%2Ctas%3Asechaba%20ngwenya"," @CreditableCo","Creditable \n \n        Creditable is a cloud based financial tool that enables caring employers to offer financial wellness products to their employees. A third of an employee’s life is spent with an employer. When our personal financial well being is compromised, the company we work for also loses. Our services include savings and loan products. Creditable is the first truly SaaS pay-as-you-use tool and it is the only product that uses bank data aggregation to assess credit risk and affordability. In addition, we offer a personal financial management tool along with loans and savings products. Employers and employees alike gain from Creditable's fair, professional & transparent loaning. \n        "
"Diamond Bank"," Nigeria"," Incumbent Banks"," www.diamondbank.com"," Uzoma Dozie",""," @DiamondBankNG","Diamond Bank \n \n        Diamond Bank is Nigeria’s fastest growing retail bank. Through innovation and technology, Diamond Bank enhances customer experiences and drives financial inclusion in what we call ‘Beyond Banking’. We offer a full range of banking products and services in retail, business and corporate banking segments.\n\nDiamond Bank boasts of the best people in the Nigerian Banking industry – a team of professional and creative minds focused on providing innovative customer-centric solutions. Over the years, our people who are our best assets have continued to sustain the Bank. The marketing/business development function of the Bank is organised in a way that enables us service our clients in the various market segments optimally. This structure, along with the alignment of the Bank’s service, control and other support functions facilitate excellent customer services delivery.Today, Diamond Bank is one of the leading banks in Nigeria* - respected for its excellent service delivery, driven by innovation and operating on the most advanced banking technology platform in the market. Diamond Bank has over the years leveraged on its underlying resilience to grow its asset base and to successfully retain its key business relationships. And like a diamond, our strength makes us even more valued and valuable. Diamond Bank has won several awards including the prestigious ""Nigerian Bank of the Year, 2009"", the ""Most Improved Bank of the Year, 2007"" and ""Best Bank in Mergers & Acquisition, 2006"" all by the ThisDay Annual Awards.\n        "
"Ecobank"," Côte D'Ivoire"," Incumbent Banks"," http://www.ecobank.com/"," Albert Essien","https://www.linkedin.com/in/albert-essien-29b43a110?authType=NAME_SEARCH&authToken=htSh&locale=fr_FR&srchid=4553804831469104361506&srchindex=1&srchtotal=12&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A4553804831469104361506%2CVSRPtargetId%3A466888727%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Atrue%2CauthType%3ANAME_SEARCH"," @GroupEcobank","Ecobank \n \n         At Ecobank Corporate Banking, we know that business success depends on much more than just access to money. We understand the broader needs of enterprises, be they multinationals or entrepreneurial start-ups.\n\nOur unrivalled presence across Africa and our experience of helping businesses grow means that we can provide you with practical financing solutions and ongoing support. It is the knowledge, experience and local insight of our people that distinguishes Ecobank from our rivals and we place their considerable expertise at your disposal. At the heart of our involvement is your dedicated pan-African Relationship Manager who is committed to understanding your business needs and providing responsive, customized lending solutions, with a focus on local empowerment.\n\nEcobank provides comprehensive trade solutions to its customers using various payment methods to facilitate cross border trade through its network across Africa. Ecobank offers unique intra Africa Trade solutions, enabling its customers to settle their international trade transactions efficiently and to mitigate payment risks. Ecobank works closely with clients in reviewing key factors regarding Transaction Processing, Settlement, Financing, Risk Mitigation and Credit Enhancement.\n        "
"eMoney Solutions Ltd."," Mauritius"," Payments & Transfers","  www.emoney-solutions.com (under construction)"," Hervé Issiack Tairou","","","eMoney Solutions Ltd. \n \n        Anyone, Anytime, Anywere, Anyhow eMoney Solutions meets most of the consumers’ needs in terms of transactional services at every stage of their progression along the financial inclusion roadmap, by featuring a variety of channels and payment means.\n\neMoney is a Fintech start up offering financial inclusion services in Africa. Such as Mobile wallet, Bill payment, Found collections and Branchless solutions.eMoney Mobile Wallet is offered to the end consumer as a means to post transactions against an electronic money account maintained on the eMoney platform.  The account is the consumer’s phone number. The wallet is an android application which requires a data connection (GPRS, Wifi, 3G, etc.) to the server. Several banks in west and central Africa are partnering with eMoney SolutionseMoney Solutions key figures :\n500 billions transactions since the launch. More than 20 banks, Microfinances and post offices in Africa are using this solutionCompetitive advantages\nBy using this tailored solution some post offices as gain more market shares in money transfert market. Regarding Microfinances, eMoney solutions allow them to collect loan reimbursement in rural areas and cities. This solution is a branchless opportunities for microfinances.\n        "
"Entersekt"," South Africa"," Payments & Transfers"," www.entersekt.com"," Schalk Nolte",""," @Entersekt","Entersekt \n \n        Entersekt is an innovator in push-based authentication and app security. The company’s one-of-a-kind approach harnesses the power of digital certificate technology with the convenience of mobile phones to provide financial services companies and their customers with full protection from online fraud.Built on open technologies for high availability, scalability, and simple integration, Entersekt’s patented security products protect millions of devices and transactions daily, while complying with the world’s most stringent regulatory guidelines. Enterprises across the globe look to Entersekt to strengthen the bond of trust they share with their customers, and to build on those relationships by introducing compelling, user-friendly new mobile and online services.What makes this company unique is its patented “one-touch” Transakt product, which dramatically boosts security while also improving the user experience. Transakt’s other differentiators include its self-contained cryptographic stack and the asymmetric (public-key) encryption it offers, as well as the fact that it is available as a powerful SDK which can be incorporated into existing applications immediately. Transakt also natively supports biometrics such as TouchID on iOS and fingerprint readers on Android.Entersekt’s proven track record spans across clients in Africa, Europe, the UK, the US and the Middle East, and the company’s technology is protected by 28 patents in more than 10 countries. Use cases for Entersekt’s solutions range from authentication of online and mobile banking, e-commerce and share trading to identity an access management (IAM) and virtual private network (VPN)/remote logins.\n        "
"Fincheck"," South Africa"," Lending & Financing"," https://fincheck.co.za/"," Michael Bowren","https://www.linkedin.com/in/michael-bowren-b1b33150?trk=nav_responsive_tab_profile"," @fincheckcompare","Fincheck \n \n        Financial inclusion is only a small step in enabling new market entrants opportunity to an included life. Fincheck.co.za is a user-friendly online portal which provides totally independent, unbiased and transparent facts and figures about similar financial services products on offer from different financial services institutions. Fincheck.co.za allows users to compare 32 different financial products from various financial services providers. These range from loans (personal and student), cheque accounts and debit cards all the way through to foreign exchange and unit trusts. The number and range of products available for comparison on Fincheck.co.za are growing all the time. Fincheck helps users choose the product which will best suit their needs and their pockets. Targeting ordinary South African consumers who do not need high levels of financial literacy to use the portal, Fincheck empowers them to make critical financial decisions based on accurate information before making a commitment, and before entering into the financial services market. Fincheck will be known as the best place to come for 'all things finance' as we build out more and more value for the customer in order for them to know and understand their money and make better financial decisions. Fincheck bridges and completes the inclusion network by informing market participants of what the products do, how they should be used and also how much they cost. In turn making it easier for people to make better financial decisions. Keep an eye out for free credit reports, budgeting tools, tax return features and more!\n        "
"Fintec Labs (Pty) Ltd"," South Africa"," Payments & Transfers"," http://finteclabs.com/"," Danie van Tonder",""," @FintecLabs","Fintec Labs (Pty) Ltd \n \n        We are receivable optimisation specialists, using big data, machine learning and cloud computing to help corporate clients collect their monthly debtors invoices more efficiently while helping banks get back in the game. \n\nThe best cost routing platform provides a straight-through process for each invoice to be routed to the best electronic collection channel automatically using analytical action triggers. Dunning messages are A/B tested for optimal efficiency lift. \n\nDeep insight reporting gives the Treasurer accurate cash flow forecasts on cohorts and KPI triggers provides time sensitive priming on next best actions.\n\n\n      \n        "
"Interpay Africa"," Ghana"," Payments & Transfers"," https://www.interpayafrica.com"," Saqib Nazir",""," @interpayafrica","Interpay Africa \n \n        There's a gap between merchants in Ghana and the local and international payment capabilities available. No one merchant has the ability and the resources to connect to all the payment capabilities, and no payment capability can connect to all merchants, which restricts the number of customers both parties can have can have. As a payment processor connected to all the available local and international payment capabilities, we give our merchants and payment partners access to more customers than they could ever reach on their own. Additionally, once our merchants receive payments through all the various channels, we take the burden of collecting and reconciling all payments received by collecting and transferring all payments to our merchants’ bank accounts every week.\n        "
"kudi Inc"," Nigeria"," Payments & Transfers"," www.kudi.ai"," Adeyinka Adewale",""," @kudidotai","kudi Inc \n \n        We’re powering the next phase of business communications and interactions (conversational commerce) with AI and we’re leveraging Instant Messaging (IM) channels\n        "
"LelapaFund"," Kenya"," Lending & Financing"," www.lelapafund.com"," Elizabeth Howard","https://www.linkedin.com/in/libbylelapafund?trk=nav_responsive_tab_profile_pic"," @lelapafund","LelapaFund \n \n        Capital markets in Africa do not work for African SMEs and startups. Supply and demand for early stage equity capital do not meet due to impossibly high transaction costs for both investors and entrepreneurs. This is a very hard problem to solve, worth $150bn per year. LelapaFund brings an alternative fund model to the space, drastically dropping transaction costs on small equity investments through innovation in regtech, digital payments and investtech. We source, vet and perform due diligence on early-stage tech and consumer goods companies in Africa, and prepare them for online investment. International investors, both experienced and first-time investors, validate KYC, sign shareholder agreements and transfer funds all through the platform. They love the opportunity to invest sustainably and impactfully in emerging markets, without the costly overheads. Each company is accompanied by technical assistance or acceleration partners to ensure structured value creation for its shareholders, aligned with the pre-identified potential exit strategies.\n        "
"LulaLend"," South Africa"," Lending & Financing"," www.lulalend.co.za"," Trevor Gosling","https://www.linkedin.com/in/trevor-gosling-82375446?authType=NAME_SEARCH&authToken=TmL_&locale=en_US&srchid=4553804831465989599861&srchindex=1&srchtotal=4&trk=vsrp_people_res_photo&trkInfo=VSRPsearchId%3A4553804831465989599861%2CVSRPtargetId%3A163096731%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Atrue%2CauthType%3ANAME_SEARCH"," @LulaLend","LulaLend \n \n        Lulalend is an online & automated provider of short-term business funding. Through cutting-edge technological development and automation of the application process, we are able to say ‘YES!’ more often and FASTER than traditional lenders. Lulalend is more than a company, it's a belief in the power of small business, making a difference, building a better solution and striving for excellence. We work hard to empower businesses across South Africa with the funds they need to grow, and we have a great time doing it! We believe small businesses are the key to local economic success and deserve an easy and inspiring lending experience. We know time is money, and our products and services are designed to keep owners moving at the speed of business. Our funding costs and terms are transparent and understandable and we have specialists available to answer any questions.\n        "
"Luminous Banking"," South Africa"," Innovative Banking"," www.luminousbanking.com"," Warren Bond","https://www.linkedin.com/in/warren-bond-26489bb"," @luminousbanking","Luminous Banking \n \n        For more than ten years Luminous has been working with banks to create innovative ways to engage customers with value-added services beyond their core banking products. One of our customers was voted most innovative bank in the world and we believe our solutions played a significant role in this. Luminous has a full suite of accounting and credit products with a particular emphasis on the acquisition and analysis of data from small and medium business, as well as from individuals. We are more than the sum of our products. Our highly-skilled team are constantly innovating and rapidly turning great ideas into solutions.\n        "
"Mauritius Commercial Bank"," Mauritius"," Incumbent Banks"," http://www.mcb.mu/en/"," Antony R. Withers","https://www.linkedin.com/in/antony-withers-98390818"," @mcbgroup","Mauritius Commercial Bank \n \n        Our innovative Internet Banking service is designed to make your everyday business banking with MCB even simpler. It is a fast and convenient way of managing your finances safely and efficiently, anytime and anywhere. Add Juice to your mobile phone and convert it into a smart wallet. With Juice by MCB, your bank is in your hands. Do more, save time and make the most of life. You can securely make instant payments, transfer money, withdraw cash without a card, manage your cards/accounts and even pay your bills with just a mobile connected to the Internet. SMS Banking: get the right messages. Let your mobile phone do the hard work when you need important information about your account. SMS, Refill, Communicate! Reload your mobile credits instantly anywhere, anytime. You can simply send a text message (SMS) to 8700 without having to find a shop or a scratch card. Even better, you can pre-register five beneficiaries for whom you can buy credits via your own mobile phone.\n        "
